timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738099098774,1057,/purchase.php,200,OK,Blaze 1-170,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,1045,0,0
1738099098813,1020,/confirmation.php,200,OK,Blaze 1-156,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,1006,0,0
1738099097225,2627,/confirmation.php,200,OK,Blaze 1-120,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,2616,0,0
1738099097734,2123,/purchase.php,200,OK,Blaze 1-28,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,2109,0,0
1738099099247,620,/reserve.php,200,OK,Blaze 1-123,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,599,0,0
1738099097816,2071,/purchase.php,200,OK,Blaze 1-148,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,2049,0,0
1738099099343,545,/purchase.php,200,OK,Blaze 1-188,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,530,0,0
1738099099336,553,/confirmation.php,200,OK,Blaze 1-112,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,541,0,0
1738099099547,354,/confirmation.php,200,OK,Blaze 1-165,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,342,0,0
1738099097937,1965,/reserve.php,200,OK,Blaze 1-93,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,1948,0,0
1738099099356,553,/confirmation.php,200,OK,Blaze 1-111,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,543,0,0
1738099092691,7224,/confirmation.php,200,OK,Blaze 1-116,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,7212,0,0
1738099096631,3295,/purchase.php,200,OK,Blaze 1-42,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,3283,0,0
1738099099615,316,/reserve.php,200,OK,Blaze 1-147,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,295,0,0
1738099097978,1960,/confirmation.php,200,OK,Blaze 1-88,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,1948,0,0
1738099097460,2500,/purchase.php,200,OK,Blaze 1-75,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,2488,0,0
1738099098923,1040,/reserve.php,200,OK,Blaze 1-25,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,1020,0,0
1738099097078,2885,Página Inicial,200,OK,Blaze 1-27,text,true,,4757,122,250,250,https://www.blazedemo.com/,2874,0,268
1738099095491,4484,/purchase.php,200,OK,Blaze 1-138,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,4470,0,0
1738099099278,702,Página Inicial,200,OK,Blaze 1-51,text,true,,4757,122,250,250,https://www.blazedemo.com/,689,0,269
1738099098012,1978,Página Inicial,200,OK,Blaze 1-39,text,true,,4757,122,250,250,https://www.blazedemo.com/,1966,0,267
1738099099689,332,/reserve.php,200,OK,Blaze 1-84,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,311,0,0
1738099099591,438,/confirmation.php,200,OK,Blaze 1-35,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,425,0,0
1738099099057,978,Página Inicial,200,OK,Blaze 1-127,text,true,,4757,122,250,250,https://www.blazedemo.com/,964,0,279
1738099097793,2246,/purchase.php,200,OK,Blaze 1-47,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,2234,0,0
1738099097983,2070,/reserve.php,200,OK,Blaze 1-73,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,2049,0,0
1738099097974,2094,Página Inicial,200,OK,Blaze 1-249,text,true,,4757,122,250,250,https://www.blazedemo.com/,2081,0,270
